Source,Destination,Anchor
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/index.html,https://www.whitehouse.gov/briefing-room/presidential-actions/2021/01/21/executive-order-ensuring-an-equitable-pandemic-response-and-recovery/,Ensuring an Equitable Pandemic Response and Recovery
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/index.html,https://www.cdc.gov/coronavirus/2019-ncov/downloads/stop-the-spread-of-germs.pdf,Stop the Spread of Germs
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/index.html,https://www.cdc.gov/coronavirus/2019-ncov/downloads/stop-the-spread-of-germs.pdf,English
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/index.html,https://www.cdc.gov/coronavirus/2019-ncov/downloads/sick-with-2019-nCoV-fact-sheet-dari.pdf,Dari
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/index.html,https://acl.gov/covid19/tests-people-who-are-blind-or-have-low-vision,Read more about the tests
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/index.html,https://www.cdc.gov/coronavirus/2019-ncov/downloads/sick-with-2019-nCoV-fact-sheet-tigryna.pdf,Tigryna
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/index.html,https://www.cdc.gov/coronavirus/2019-ncov/downloads/sick-with-2019-nCoV-fact-sheet-farsi.pdf,Farsi
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/index.html,https://www.cdc.gov/coronavirus/2019-ncov/downloads/stop-the-spread-of-germs-somali.pdf,Somali
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/index.html,https://www.cdc.gov/coronavirus/2019-ncov/downloads/stop-the-spread-of-germs-tigryna.pdf,Tigryna
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/index.html,https://www.cdc.gov/coronavirus/2019-ncov/downloads/stop-the-spread-of-germs-dari.pdf,Dari
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/index.html,https://aspr.hhs.gov/at-risk/Pages/engaging_CBO.aspx,Promising Practices for Reaching At-Risk Individuals for COVID-19 Vaccination and Information
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/index.html,https://www.cdc.gov/coronavirus/2019-ncov/downloads/COVID19-symptoms-haitian-creole.pdf,Haitian Creole
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/index.html,https://www.cdc.gov/coronavirus/2019-ncov/downloads/stop-the-spread-of-germs-farsi.pdf,Farsi
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/index.html,https://www.hud.gov/sites/dfiles/FHEO/documents/secretary%20fh%20statement%20covid-19%204.3.20.pdf,HUD Statement on Fair Housing and COVID-19
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/index.html,https://www.cdc.gov/coronavirus/2019-ncov/downloads/sick-with-2019-nCoV-fact-sheet-somali.pdf,Somali
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/index.html,https://www.hhs.gov/about/news/2020/05/07/hhs-awards-more-than-half-billion-across-the-nation-to-expand-covid19-testing.html,HHS Awards More than a Half Billion Dollars to Help Vulnerable and Underserved Communities Gain Access to COVID-19 Testing
